fecha; litros; grasa_gl; proteina_gl; urea; UFC; RCS
01/03/26;12272;50.28;40.59;245;19000;226000
02/03/26;12239;51.19;40.48;336;16000;224000
03/03/26;11908;52.94;40.79;419;6000;223000
04/03/26;12207;52.95;41.21;276;12000;266000
05/03/26;12256;51;41.42;0;6000;284000
06/03/26;11983;52.75;41.62;0;0;250000
07/03/26;12394;51.1;41.11;0;0;0
08/03/26;12370;51.62;41.42;0;0;0
09/03/26;12450;51.73;41.83;0;0;0
10/03/26;12386;53.29;42.16;0;0;0
11/03/26;12442;52.67;41.54;0;0;0
12/03/26;12314;53.69;41.74;0;0;0
13/03/26;11958;53.62;41.97;0;0;0
14/03/26;12108;53.38;41.53;0;0;0
15/03/26;11908;54.74;42.78;0;0;0
16/03/26;11638;52.35;41.74;0;0;0
17/03/26;11362;56.78;42.66;0;0;0
18/03/26;11135;54.21;42.05;0;0;0
19/03/26;10914;55.66;42.88;0;0;0
20/03/26;11082;53.17;41.84;0;0;0
21/03/26;11135;53.99;42.25;0;0;0
22/03/26;10843;56.69;43.29;0;0;0
23/03/26;11231;54.62;42.56;0;0;0
24/03/26;10575;57.51;43.08;0;0;0
25/03/26;10348;55.34;42.35;0;0;0
26/03/26;10444;55.33;41.93;0;0;0
27/03/26;11047;55.34;42.46;0;0;0
28/03/26;10870;55.13;42.46;0;0;0
29/03/26;10956;55.23;42.56;0;0;0
30/03/26;11135;55.23;42.46;0;0;0
31/03/26;11266;55.44;42.56;0;0;0
01/04/26;10834;51.96;43.19;0;0;0
02/04/26;10394;56.78;43.28;0;0;0
03/04/26;10814;56.03;41.3;0;0;0
04/04/26;10691;55.94;41.52;0;0;0
05/04/26;11138;54.91;41.41;0;0;0
06/04/26;10914;54.6;41.83;0;0;0
07/04/26;11098;54.31;42.87;0;0;0
08/04/26;11144;52.57;42.98;0;0;0
09/04/26;10859;0;0;0;0;0
10/04/26;10905;0;0;0;0;0
11/04/26;10976;0;0;0;0;0
12/04/26;10859;0;0;0;0;0
13/04/26;10647;0;0;0;0;0
